Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
e0b8c525-e259-4d64-a416-df2af1275360,,,Tooth 75,Tooth 75,#75,#75,,,Misc,N/A,,,,,,,,,,,
1daf0e1b-1bed-4e09-a9fd-2f54ba0a4bdf,,,Tooth 81,Tooth 81,#81,#81,,,Misc,N/A,,,,,,,,,,,
b369a4cf-8fbe-43f7-b920-b8758fa1f80d,,,Tooth 82,Tooth 82,#82,#82,,,Misc,N/A,,,,,,,,,,,
34604a8e-5e3b-4281-ab89-658fc3daf759,,,Tooth 83,Tooth 83,#83,#83,,,Misc,N/A,,,,,,,,,,,
105d3352-2bae-4191-9f76-6250d16eb12d,,,Tooth 84,Tooth 84,#84,#84,,,Misc,N/A,,,,,,,,,,,
ff964298-d4c9-4a7f-a3b6-34655bc9370b,,,Tooth 85,Tooth 85,#85,#85,,,Misc,N/A,,,,,,,,,,,
f92a7f52-1abe-44f1-b054-f4156074e4b6,,,Missing Teeth,Missing Teeth,Missing Teeth,Missing Teeth,,,Question,Coded,,Tooth 11; Tooth 12; Tooth 13; Tooth 14; Tooth 15; Tooth 16; Tooth 17; Tooth 18; Tooth 21; Tooth 22; Tooth 23; Tooth 24; Tooth 25; Tooth 26; Tooth 27; Tooth 28; Tooth 31; Tooth 32; Tooth 33; Tooth 34; Tooth 35; Tooth 36; Tooth 37; Tooth 38; Tooth 41; Tooth 42; Tooth 43; Tooth 44; Tooth 45; Tooth 46; Tooth 47; Tooth 48; Tooth 51; Tooth 52; Tooth 53; Tooth 54; Tooth 55; Tooth 61; Tooth 62; Tooth 63; Tooth 64; Tooth 65; Tooth 71; Tooth 72; Tooth 73; Tooth 74; Tooth 75; Tooth 81; Tooth 82; Tooth 83; Tooth 84; Tooth 85;,,,,,,,,,
389fac97-ee38-4f1d-b2e8-25ba6a295586,,,Teeth Extracted,Teeth Extracted,Teeth Extracted,Teeth Extracted,,,Question,Coded,,Tooth 11; Tooth 12; Tooth 13; Tooth 14; Tooth 15; Tooth 16; Tooth 17; Tooth 18; Tooth 21; Tooth 22; Tooth 23; Tooth 24; Tooth 25; Tooth 26; Tooth 27; Tooth 28; Tooth 31; Tooth 32; Tooth 33; Tooth 34; Tooth 35; Tooth 36; Tooth 37; Tooth 38; Tooth 41; Tooth 42; Tooth 43; Tooth 44; Tooth 45; Tooth 46; Tooth 47; Tooth 48; Tooth 51; Tooth 52; Tooth 53; Tooth 54; Tooth 55; Tooth 61; Tooth 62; Tooth 63; Tooth 64; Tooth 65; Tooth 71; Tooth 72; Tooth 73; Tooth 74; Tooth 75; Tooth 81; Tooth 82; Tooth 83; Tooth 84; Tooth 85;,,,,,,,,,
70f0c18f-e1e4-4820-a3b8-e512f3d6e0df,,,Teeth Filled,Teeth Filled,Teeth Filled,Teeth Filled,,,Question,Coded,,Tooth 11; Tooth 12; Tooth 13; Tooth 14; Tooth 15; Tooth 16; Tooth 17; Tooth 18; Tooth 21; Tooth 22; Tooth 23; Tooth 24; Tooth 25; Tooth 26; Tooth 27; Tooth 28; Tooth 31; Tooth 32; Tooth 33; Tooth 34; Tooth 35; Tooth 36; Tooth 37; Tooth 38; Tooth 41; Tooth 42; Tooth 43; Tooth 44; Tooth 45; Tooth 46; Tooth 47; Tooth 48; Tooth 51; Tooth 52; Tooth 53; Tooth 54; Tooth 55; Tooth 61; Tooth 62; Tooth 63; Tooth 64; Tooth 65; Tooth 71; Tooth 72; Tooth 73; Tooth 74; Tooth 75; Tooth 81; Tooth 82; Tooth 83; Tooth 84; Tooth 85;,,,,,,,,,
f72729b9-188e-4fec-bac1-500eb22b5c7f,,,Is Small Dental Surgery Performed,Is Small Dental Surgery Performed,Small Surgery Performed,Small Surgery Performed,,,Question,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
8be18991-4ed6-4e01-9e4a-c2e65090e6cd,,,Stitches (Suture),Stitches (Suture),Stitches (Suture),Stitches (Suture),,,Misc,N/A,,,,,,,,,,,
6cfaed62-4ba4-4a16-9ec9-251958399070,,,Drain Dental Abscess,Drain Dental Abscess,Drain Dental Abscess,Drain Dental Abscess,,,Misc,N/A,,,,,,,,,,,
278e32f0-7f6f-4b82-971e-b4705f86a0f7,,,Coded Small Dental Surgery Performed,Coded Small Dental Surgery Performed,Small Surgery Type,Small Surgery Type,,,Question,Coded,,Stitches (Suture); Drain Dental Abscess,,,,,,,,,
c44ec5ae-9b2a-49ea-a559-7fe17b60a948,,,Other Small Dental Surgery,Other Small Dental Surgery,Other Small Surgery,Other Small Surgery,,,Question,Text,,,,,,,,,,,
a2a1aa3f-d8b7-44b5-97e6-8b80d674f48e,,,Small Dental Surgery Set,Small Dental Surgery Set,Small Surgery,Small Surgery,,,ConvSet,N/A,,,Coded Small Dental Surgery Performed; Other Small Dental Surgery,,,,,,,,
c1cc119c-59c4-40e0-b589-e7c884c91711,,,Scaling,Scaling,Scaling,Scaling,,,Question,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
b115d81e-8fcf-495f-b3a4-e3588eec12d2,,,Prevention Education,Prevention Education,Prevention Education,Prevention Education,,,Question,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
c08476fa-36a7-4360-bc03-de850fbed10a,,,Prevention Fluoride,Prevention Fluoride,Fluoride Treatment,Fluoride Treatment,,,Question,Coded,,bf885a9d-9f98-4990-8c20-ac4ace816bfe;2120763c-6c49-4133-b532-1e931ab4858a,,,,,,,,,
fdf43ba6-8612-4a85-9e51-89d3e073676b,,,Dental Notes,Dental Notes,Dental Notes,Dental Notes,,,Question,Text,,,,,,,,,,,
f638452e-393a-4ad0-8be8-ff97def78e89,,,Dental Exam Form,Dental Exam Form,Dental Exam,Dental Exam,,,ConvSet,N/A,,,Missing Teeth; Teeth Extracted; Teeth Filled;Small Dental Surgery Set; Scaling; Prevention Education; Prevention Fluoride;Dental Notes,,,,,,,,
