Uuid,Void/Retire,Name,Concept Dosage Form,odoo_purchase_uom,odoo_uom,Concept Drug,Strength,odoo_price,odoo_cost,odoo_category,odoo_type,odoo_id,_version:1
e419653d-06eb-4c15-a8eb-ea6ea29d4fdf,,ACYCLOVIR DENK Comprime a 200 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ACICLOVIR,,4800,,bahmni_product.categ_saleable_drugs,Stockable Product,e419653d-06eb-4c15-a8eb-ea6ea29d4fdf,
d2adfa5b-a2b8-4f3e-85db-528b96c64239,,ADALATE Comprime LP a 20 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,NIFEDIPINE,,2000,,bahmni_product.categ_saleable_drugs,Stockable Product,d2adfa5b-a2b8-4f3e-85db-528b96c64239,
a5013c94-8b97-4347-aee6-6b830a4c925b,,ADALATE Capsule a 10 mg,Capsule,57f78dee-f842-4c23-91b8-5d234fd036f7,57f78dee-f842-4c23-91b8-5d234fd036f7,NIFEDIPINE,,1100,,bahmni_product.categ_saleable_drugs,Stockable Product,a5013c94-8b97-4347-aee6-6b830a4c925b,
4c8203fa-ad44-4cfe-9db4-dd342a2e0bd8,,ADALATE Comprime LP a 20 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,NIFEDIPINE,,3300,,bahmni_product.categ_saleable_drugs,Stockable Product,4c8203fa-ad44-4cfe-9db4-dd342a2e0bd8,
a5e7d08f-6cad-4db5-afdc-766356cba1ed,,"ADEPAL Comprime a 0,03 / 0,15 mg",Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ETHINYLESTRADIOL/LEVONORGESTREL,,500,,bahmni_product.categ_saleable_drugs,Stockable Product,a5e7d08f-6cad-4db5-afdc-766356cba1ed,
ee87c8d1-0a1c-4b8d-ae19-fbb2ecd90bbb,,"ADEPAL Comprime a 0,03 / 0,15 mg",Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ETHINYLESTRADIOL/LEVONORGESTREL,,1500,,bahmni_product.categ_saleable_drugs,Stockable Product,ee87c8d1-0a1c-4b8d-ae19-fbb2ecd90bbb,
f183b093-971a-407e-aaeb-9b5ac8368d47,,"ADEX Comprime a 2,5 mg",Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,INDAPAMIDE,,1700,,bahmni_product.categ_saleable_drugs,Stockable Product,f183b093-971a-407e-aaeb-9b5ac8368d47,
f4cd37b0-f19a-40ff-b697-523f02977be1,,ADOL Comprime a 500 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,PARACETAMOL,,250,,bahmni_product.categ_saleable_drugs,Stockable Product,f4cd37b0-f19a-40ff-b697-523f02977be1,
faa2446a-5189-4b3d-ac8c-31570a4f8a79,,ADORA Poudre pour suspension buvable a 125,Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,CEFADROXIL,,400,,bahmni_product.categ_saleable_drugs,Stockable Product,faa2446a-5189-4b3d-ac8c-31570a4f8a79,
3bc8df9e-254a-42e7-827e-b2aa75678f09,,ADORA Gelule a 500 mg,Capsule,57f78dee-f842-4c23-91b8-5d234fd036f7,57f78dee-f842-4c23-91b8-5d234fd036f7,CEFADROXIL,,800,,bahmni_product.categ_saleable_drugs,Stockable Product,3bc8df9e-254a-42e7-827e-b2aa75678f09,
9a7a2988-3024-49e0-b36c-2780430c1a1c,,ADVIL Suspension Buvable a 100 mg/ 5 ml,Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,IBUPROFENE,,1400,,bahmni_product.categ_saleable_drugs,Stockable Product,9a7a2988-3024-49e0-b36c-2780430c1a1c,
a290b558-19ed-4813-ad47-364934a8b1de,,ADVIL Comprime a 200 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,IBUPROFENE,,650,,bahmni_product.categ_saleable_drugs,Stockable Product,a290b558-19ed-4813-ad47-364934a8b1de,
53894464-bab1-4317-895c-9443aad99fda,,ADVIL Comprime a 400 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,IBUPROFENE,,900,,bahmni_product.categ_saleable_drugs,Stockable Product,53894464-bab1-4317-895c-9443aad99fda,
303eb435-5288-4dbd-a9d2-87864de5f52b,,AELGEX Sirop a 120 mg,Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,PARACETAMOL,,250,,bahmni_product.categ_saleable_drugs,Stockable Product,303eb435-5288-4dbd-a9d2-87864de5f52b,
483a653d-1695-47f8-8fe4-2a84c5a3fd33,,AERIUS Comprime  pellicule a 5 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,DESLORATADINE,,1350,,bahmni_product.categ_saleable_drugs,Stockable Product,483a653d-1695-47f8-8fe4-2a84c5a3fd33,
0321945b-2033-4123-a9cb-7dc60b16d6a7,,"AERIUS Sirop  a 0,5 mg/ ml",Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,DESLORATADINE,,1800,,bahmni_product.categ_saleable_drugs,Stockable Product,0321945b-2033-4123-a9cb-7dc60b16d6a7,
19a05fe1-4f32-4cc7-9187-bdb77b92e064,,AERIUS Comprime  pellicule a 5 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,DESLORATADINE,,2700,,bahmni_product.categ_saleable_drugs,Stockable Product,19a05fe1-4f32-4cc7-9187-bdb77b92e064,
adc48386-db90-4ba1-88f4-c8a3de557193,,AEROL Suspension pour inhalation  a  100  ug,Inhalable,2b4ca899-528a-4b5a-a474-4adb2a299be2,2b4ca899-528a-4b5a-a474-4adb2a299be2,SALBUTAMOL,,1000,,bahmni_product.categ_saleable_drugs,Stockable Product,adc48386-db90-4ba1-88f4-c8a3de557193,
40fe2740-252e-415b-9a90-69fb7aee0a27,,AFTAGEL Gel buccal,Gel,ae89f168-0d9f-4ae4-8aa6-b2f4c27a8e52,ae89f168-0d9f-4ae4-8aa6-b2f4c27a8e52,LIDOCAINE/SULFATE DE ZINC,,1200,,bahmni_product.categ_saleable_drugs,Stockable Product,40fe2740-252e-415b-9a90-69fb7aee0a27,
623ab848-b828-47cc-9ff3-31ec79b8f8f7,,AGRAM Poudre pour susp buvable a 500 mg/,Powder,4d653cbf-5502-4ee8-a470-4ebc9170fda8,4d653cbf-5502-4ee8-a470-4ebc9170fda8,AMOXICILLINE,,600,,bahmni_product.categ_saleable_drugs,Stockable Product,623ab848-b828-47cc-9ff3-31ec79b8f8f7,
81e7b56f-7617-467a-9fec-59024c53f68d,,AGRAM Poudre pour susp buvable a 125 mg/,Powder,4d653cbf-5502-4ee8-a470-4ebc9170fda8,4d653cbf-5502-4ee8-a470-4ebc9170fda8,AMOXICILLINE,,500,,bahmni_product.categ_saleable_drugs,Stockable Product,81e7b56f-7617-467a-9fec-59024c53f68d,
53123589-ee37-4b6b-a314-892d457a4f87,,AGRAM Poudre pour susp buvable a 250 mg/,Powder,4d653cbf-5502-4ee8-a470-4ebc9170fda8,4d653cbf-5502-4ee8-a470-4ebc9170fda8,AMOXICILLINE,,500,,bahmni_product.categ_saleable_drugs,Stockable Product,53123589-ee37-4b6b-a314-892d457a4f87,
06adbdb5-0a9d-4da3-9005-2427cfa1530b,,AGRAM Gelule a 500 mg,Capsule,57f78dee-f842-4c23-91b8-5d234fd036f7,57f78dee-f842-4c23-91b8-5d234fd036f7,AMOXICILLINE,,850,,bahmni_product.categ_saleable_drugs,Stockable Product,06adbdb5-0a9d-4da3-9005-2427cfa1530b,
5e61c123-d66b-4dac-a5ae-e06e73a754ea,,AIRTAL Comprime a 100 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ACECLOFENAC,,5100,,bahmni_product.categ_saleable_drugs,Stockable Product,5e61c123-d66b-4dac-a5ae-e06e73a754ea,
c55043c2-742f-4d81-852d-507cc0aabb15,,ALAIRGIX Comprime a 10 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,CETIRIZINE,,1500,,bahmni_product.categ_saleable_drugs,Stockable Product,c55043c2-742f-4d81-852d-507cc0aabb15,
12158c27-222d-42e5-bf51-ed147fb0c306,,ALATROL Comprime a 10 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,CETIRIZINE,,400,,bahmni_product.categ_saleable_drugs,Stockable Product,12158c27-222d-42e5-bf51-ed147fb0c306,
993092e7-123d-4c85-a36d-85a7bd1be717,,"ALATROL Solution buvable a 2,5 mg/ ml",Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,CETIRIZINE,,600,,bahmni_product.categ_saleable_drugs,Stockable Product,993092e7-123d-4c85-a36d-85a7bd1be717,
42c0e698-c452-4f0a-87e7-9f226d0ba596,,ALBEN Suspension  buvable a 4 %,Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,ALBENDAZOLE,,700,,bahmni_product.categ_saleable_drugs,Stockable Product,42c0e698-c452-4f0a-87e7-9f226d0ba596,
72ce193c-4eca-49d4-8087-de9fd8c1046a,,ALBEN Comprime a  400 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ALBENDAZOLE,,700,,bahmni_product.categ_saleable_drugs,Stockable Product,72ce193c-4eca-49d4-8087-de9fd8c1046a,
ad694d80-9f00-460c-bccf-a56f669e811a,,ALDACTAZINE Comprime pellicule a 25/ 15 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,SPIRINOLACTONE/ALTIZIDE,,1900,,bahmni_product.categ_saleable_drugs,Stockable Product,ad694d80-9f00-460c-bccf-a56f669e811a,
2f58566a-ab07-4c49-9d75-253d05c7f3c7,,ALDACTONE Comprime pellicule a 75 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,SPIRINOLACTONE,,2200,,bahmni_product.categ_saleable_drugs,Stockable Product,2f58566a-ab07-4c49-9d75-253d05c7f3c7,
f02dd758-e41f-4bd3-88ff-13f898f6d1ad,,ALDACTONE Comprime pellicule a 50 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,SPIRINOLACTONE,,3000,,bahmni_product.categ_saleable_drugs,Stockable Product,f02dd758-e41f-4bd3-88ff-13f898f6d1ad,
0222acd9-8e70-4134-bd58-32c7ece6cead,,ALDOMET Comprime a 250 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,METHYLDOPA,,1200,,bahmni_product.categ_saleable_drugs,Stockable Product,0222acd9-8e70-4134-bd58-32c7ece6cead,
1c204467-4473-4de9-a227-efcef8d5713a,,ALDOMET Comprime a 500 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,METHYL DOPA,,1900,,bahmni_product.categ_saleable_drugs,Stockable Product,1c204467-4473-4de9-a227-efcef8d5713a,
444644c7-cf09-46fc-934c-add46ebca6c2,,ALFATIL Sirop a 125 mg,Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,CEFACLOR,,1450,,bahmni_product.categ_saleable_drugs,Stockable Product,444644c7-cf09-46fc-934c-add46ebca6c2,
1c75feb3-bddb-437e-bbf1-544f4160f30f,,ALFATIL Sirop a 250 mg,Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,CEFACLOR,,2300,,bahmni_product.categ_saleable_drugs,Stockable Product,1c75feb3-bddb-437e-bbf1-544f4160f30f,
c854ea3c-aa40-4ce7-95c8-9fda5b359605,,ALFATIL Comprime  LP a 500 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,CEFACLOR,,4700,,bahmni_product.categ_saleable_drugs,Stockable Product,c854ea3c-aa40-4ce7-95c8-9fda5b359605,
b16a1f35-8830-4dfc-870c-adfde3cf417f,,"ALGESAL SURACTIVE Pommade a 6,54/ 3,46/ 1 g",Pomade,ae89f168-0d9f-4ae4-8aa6-b2f4c27a8e52,ae89f168-0d9f-4ae4-8aa6-b2f4c27a8e52,ACIDE SALICYLIQUE/DIETHYLAMINE/M,,1000,,bahmni_product.categ_saleable_drugs,Stockable Product,b16a1f35-8830-4dfc-870c-adfde3cf417f,
f2c19705-7807-4b31-af52-964352059712,,"ALLERGODIL Collyre a 0,05 g/ 100 ml",Drops,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,AZELASTINE,,2600,,bahmni_product.categ_saleable_drugs,Stockable Product,f2c19705-7807-4b31-af52-964352059712,
72638212-6e0f-4251-a061-b88b14171bbb,,"ALLERGYL Sirop a 0,1 %",Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,PROMETHAZINE,,400,,bahmni_product.categ_saleable_drugs,Stockable Product,72638212-6e0f-4251-a061-b88b14171bbb,
8ebe8491-c11a-4e38-b2b5-3ff7abe38c3d,,ALMEX Comprime a 400 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ALBENDAZOLE,,200,,bahmni_product.categ_saleable_drugs,Stockable Product,8ebe8491-c11a-4e38-b2b5-3ff7abe38c3d,
50e1bed4-1286-4845-a504-fe59d9423207,,ALMEX Suspension orale  a 200 mg/ 5 ml,Syrup/Suspension,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,ALBENDAZOLE,,200,,bahmni_product.categ_saleable_drugs,Stockable Product,50e1bed4-1286-4845-a504-fe59d9423207,
2614245c-6531-4a0b-864e-550046c9d9a5,,"ALMIDE Collyre a  0,1 %",Drops,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,LODOXAMIDE,,1700,,bahmni_product.categ_saleable_drugs,Stockable Product,2614245c-6531-4a0b-864e-550046c9d9a5,
40e3b96b-09a5-49df-a857-684afbfce757,,ALODONT Bain de Bouche a 5/ 50/ 4 mg,Oral Solution,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,CETYLPYRIDINIUM/CHLOROBUTANOL/,,800,,bahmni_product.categ_saleable_drugs,Stockable Product,40e3b96b-09a5-49df-a857-684afbfce757,
a16c9dd1-46c3-42d0-805b-fc14c90ca527,,"ALPRAZ Comprime a  0,5 mg",Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ALPRAZOLAM,,1300,,bahmni_product.categ_saleable_drugs,Stockable Product,a16c9dd1-46c3-42d0-805b-fc14c90ca527,
9594cb49-cbe5-46d0-9da6-7c7270c27fd2,,ALPRAZ Comprime a  1 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,ALPRAZOLAM,,1300,,bahmni_product.categ_saleable_drugs,Stockable Product,9594cb49-cbe5-46d0-9da6-7c7270c27fd2,
dd83a300-0100-438d-a3f9-a2b5eac359fc,,ALUMINIUM ET MAGNESIUM Comprime,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,HYDROXIDE ALUMINIUM ET MAGNESIU,,800,,bahmni_product.categ_saleable_drugs,Stockable Product,dd83a300-0100-438d-a3f9-a2b5eac359fc,
dbba92c0-ded8-47de-8bac-2484ae5be733,,ALUMINIUM HYDROXIDE Comprime,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,HYDROXIDE D'ALUMINIUM,,200,,bahmni_product.categ_saleable_drugs,Stockable Product,dbba92c0-ded8-47de-8bac-2484ae5be733,
bf35569f-77b9-4528-a6a1-7699fca50fbf,,ALVITYL Comprime enrobe,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,MULTIVITAMINES,,1800,,bahmni_product.categ_saleable_drugs,Stockable Product,bf35569f-77b9-4528-a6a1-7699fca50fbf,
47cfcb60-9a47-4522-8c7d-ef8ebc0fb766,,ALZOL Sirop a 400 mg,Syrup,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,52c5bd1b-7679-45cc-ac8e-1eb8dd92ab7a,ALBENDAZOLE,,300,,bahmni_product.categ_saleable_drugs,Stockable Product,47cfcb60-9a47-4522-8c7d-ef8ebc0fb766,
de8594b7-394b-4c6c-a994-284cd22dbac7,,AMAREL Comprime a 1 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,GLIMEPIRIDE,,1650,,bahmni_product.categ_saleable_drugs,Stockable Product,de8594b7-394b-4c6c-a994-284cd22dbac7,
f0bbe857-5366-4b50-8039-9574697dd4ed,,AMAREL Comprime a 2 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,GLIMEPIRIDE,,2550,,bahmni_product.categ_saleable_drugs,Stockable Product,f0bbe857-5366-4b50-8039-9574697dd4ed,
d7f89bb0-1a47-4e14-85d0-f56d3a43d840,,AMAREL Comprime a 3 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,GLIMEPIRIDE,,3150,,bahmni_product.categ_saleable_drugs,Stockable Product,d7f89bb0-1a47-4e14-85d0-f56d3a43d840,
86a0f19e-956c-4090-9aee-5c4871da2238,,AMAREL Comprime a 4 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,GLIMEPIRIDE,,5300,,bahmni_product.categ_saleable_drugs,Stockable Product,86a0f19e-956c-4090-9aee-5c4871da2238,
99fe545a-61f0-4741-ae80-eaf447aae110,,AMARYL M Comprime pellicule a 1/ 250 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,GLIMEPIRIDE/METFORMINE,,1900,,bahmni_product.categ_saleable_drugs,Stockable Product,99fe545a-61f0-4741-ae80-eaf447aae110,
5e91d6cf-6228-4388-b953-7d539fea49db,,AMARYL M Comprime pellicule a 2/250 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,GLIMEPIRIDE/METFORMINE,,2800,,bahmni_product.categ_saleable_drugs,Stockable Product,5e91d6cf-6228-4388-b953-7d539fea49db,
bcac0a27-f4f3-4f87-a1bf-1a4afe2b5b51,,AMBROX-DENK Comprime effervescent a 60 mg,Tablet,74ea4fb4-1b15-4530-98b4-eb21865d1a75,74ea4fb4-1b15-4530-98b4-eb21865d1a75,AMBROXOL,,2000,,bahmni_product.categ_saleable_drugs,Stockable Product,bcac0a27-f4f3-4f87-a1bf-1a4afe2b5b51,
